,Content,Label
0,"For Saturday morning's activity, I decided to organize a small team for trekking the nice and simple route of Kranji Memorial trek once again.",Fulfilled
1,"Also, I had super intentions of going to bed at like 9 tonight, but then matt IMed me wanted to talk, and the Sox/Yanks game was on, and I still haven't decided what I am going to wear tomorrow because again, I was under the impression that tomorrow was Friday and I could wear jeans because it was casual day.",Unfulfilled
2,"Eventually, I just decided to speak, and I can't even remember what I said, but people were very happy and proud of me for saying what I wanted to say.",Fulfilled
3,I decided to construct him one from a star Wars valance I found at a thrift store for a little less than $3.,Fulfilled
4,I was under the impression that 1ECTS credit would be counted as 1 credit back in Japan so I decided to take courses totalling 20 credits...,Unfulfilled
5,He decided to help me get my own so we saved up a couple of pocketfuls of crispy M&ms and were going to sell them to this giant Walmart thrift store in order to get enough money to buy me one.,Unfulfilled
6,"I had a big ego, I wanted to be different, I thought everyone was my enemy and I could beat all of them.",Unknown
7,"After waiting for 2 mths, I gave up and decided to buy the HTC Diamond Plus but they told me no more English version and not sure when will have stock.",Unfulfilled
8,I stayed cuddled up with Kirsty most of the night and I decided to take over Mike's bed since he was such a bad host (he had disappeared with Ashley for about an hour) and go to sleep.,Fulfilled
9,"She surprised me by taking me to the prince William County Fair over on Dumfries Road- we'd both been kind of stressed with work, and decided to just get out to something different.",Fulfilled
10,"He obviously wanted to make more changes to the design, but once I explained why I wanted it, he was cool with keeping it as close as possible.",Unfulfilled
11,"I wanted to hold her in my arms, laying on the back of that car, leaning against the back window and staring into the night sky, hoping that somewhere else underneath is she's sleeping peacefully and somehow in some way I know that part of me is there with her protecting her and loving her always.",Unfulfilled
12,"I really did mean it when I said in my last post that I wanted to reconnect with SL, it's just that RL has decided to interfere even more than it typically does.",Fulfilled
13,"First we stopped at the lavender centre, after all I am from the lavender County and I wanted to check the UK version... no proper lavender oil but some beetroot wine and cute frogs to purchase.",Fulfilled
14,"I really wanted to paint with my plein air group today, but just couldn't take another day in the sun so I set up in the shade of the visitor center at Sibley Volcanic regional Park in Oakland where we were to meet at 2:00 for our group critique.",Unfulfilled
15,"Needless to say, none of that actually happened I had no last minute cancellations of clients or people kicking up a stink because they wanted to go on the trip and couldn't, the bus was on time, we got loaded up in record time because I started bugging people to go to the bathroom 15 minutes early, we got there and our table was ready, I proposed my food idea (since the portions are rather large and seniors don't eat much, I decided we'd order a bunch of chicken souvlaki and some pork souvlaki which came with Greek salad and I chose potatoes as the side and then we just divvied them up among us) and everyone agreed and it all went well and everyone enjoyed it.",Fulfilled
16,I felt so betrayed because of it and wanted to just quit it and leave the house.,Unknown
17,Last thing I expected was for Kristen telling me about this guy with gorgeous blue eyes she wanted to date that had a friend that we could go on a double date with...,Unknown
18,I sat there thinking about how much I didnt want to go to school and how much I wished to be switched to a different science class.,Unknown
19,It also didn't help that the chorus kept banging on drums and shit and I wanted to tell them to shut up and that Othello kept stumbling over his lines.,Unknown
20,"But hey, life comes at you fast apparently this morning I found myself in an argument with Emma - now 4 - about the length of the dress she wished to wear.",Unknown
21,"For most of my childhood I felt happy to be and stay a kid and never wished to be any older, to the extent that I sometimes dreaded getting older and wished I could always stay young.",Unfulfilled
22,"I realize now that while I was having fun the past few years toking up, I always thought that one day soon I'd have to put the pipe down and actually be an adult, as much as I wished to avoid that.",Unfulfilled
23,I started to film something which I wanted to input into my computer to see how it looked.,Unknown
24,"We were chilling, waiting for Erika and Amanda, when Erika comes up with five guys becaue her boyfriend will wanted to come but didn't want to hang out with a bunch of girls.",Fulfilled
25,I remember an overwhelming sense of God's love in my heart and realized that I wanted to accept him as my savior.,Fulfilled
26,Babb that I wanted to accept Christ.,Fulfilled
27,But then I came to college and started posting pictures and typing about my life and my college friends wanted to see but no one had livejournal.,Fulfilled
28,I still wanted to sit at the orchestra.,Unfulfilled
29,"But there are things that I wanted to do as a child that I have accomplished, though not in the same straight-line way as Randy.",Fulfilled
30,Lots of carnival food I wanted to eat and awesome stands selling cool shit I want but can't afford.,Fulfilled
31,"From that day onwards, I knew I never wanted to lose her.",Unfulfilled
32,I wanted to get going and didn't have much patience.,Unknown
33,I wanted to mail postcards to my neices.,Unknown
34,"I'd never been there, and Adam heard there might be some surf, so we wanted to check it out.",Fulfilled
35,"I wanted to get my life together for myself, my kids, and because I felt like I owed to myself and everyone I loved to do so.",Unknown
36,"Either way, I (fortunately) didn't have to be on campus until 11 for a class, but I rushed around anyway, which I hate doing, because I wanted to get there in time to get a space in the first lot.",Unknown
37,Mostly I just really wanted to be home last night so I was grumpy.,Unfulfilled
38,I wanted to show YOU.,Unknown
39,"Not that anything can top that, but after this, we got a ton of pizza and Chesh & I rented Dune because Smeg & Dessy are reading the novel and wanted to see it.",Fulfilled
40,My energy was so strong in this new tactile realm and I wanted to feel more.,Fulfilled
41,I wanted to explore.,Fulfilled
42,I really enjoy good food and healthy living so I wanted to start my own food blog.,Fulfilled
43,I went to the photo shop to develop my photo... and I wanted to develop my photo using chemical...,Fulfilled
44,I wanted to pick up a ticket to a show.,Fulfilled
45,I've always wanted to look menacing.,Unknown
46,I really wanted to believe and understand.,Unknown
47,"I'm watching ""Live free or Die Hard"" right now; I'd hoped to hit the public library today, but it's closed.",Unfulfilled
48,I wanted to leave before people started getting drunk.,Fulfilled
49,We'd hoped to do it when I finished them ~ but he was on tour and out of town in Montana.,Unfulfilled
50,"Which, in turn, ended with regret and lots of unwanted memories which I hoped to forget, flooding back like water filling a vase entirely 'til the brim.",Unfulfilled
51,"Because we missed the 4am train, we were guaranteed no chance of making the 4:44 train we had hoped to get out of Penn Station.",Unfulfilled
52,"In New York I saw a show were I wished to be one of those girls in the theater, I was impressed of how coordinated and how well they dance.",Unfulfilled
53,"While attending vacation Bible School one summer, I went and visited the pastor, and told him that I wanted to get saved.",Fulfilled
54,Seeing 99% of the friends that I wished to see.,Fulfilled
55,"I wished to take her hand with mine, but some strange force was keeping me at bay, making sure I couldn't move, so as not to interrupt her ethereal presence in front of me.",Unfulfilled
56,I posted pics of the muffins last week and had some interest from readers who said they wished to do something similar.,Unknown
57,"In some cases the clients wished to maintain anonymity, and so asked Holmes to travel without me; but in others, I was prevented from traveling with him due to my part-time work as locum for various physicians.",Fulfilled
58,"So anyway, this little old lady came into my line and easily spent about 30 minutes trying to check out, putting each item on the counter individually, dealing with her dog and then taking forever in finding what credit card she wanted to use (I counted, as it's something that I compulsively do, and saw no less than 12 different cards).",Fulfilled
59,"Later in the day after I picked up the boys and discovered that BM had packed them for our trip, she called husband to request an alteration of parenting time to accommodate something she wished to do for her job.",Unknown
60,As crazy as this is to hear as a child I wished to not live passed my 10 th grade year sadly.,Unfulfilled
61,"It had been a few hours since I had eaten breakfast, so I was very hungry and couldn't wait to eat.",Fulfilled
62,I gotta get back to my project... but I wanted to drop you all a line and share my happiness with you.,Fulfilled
63,"I work in Plymouth and snow was not expected to start until 2pm, but it couldn't wait to be the real first snow storm, so it started to fall around 12:00.",Fulfilled
64,She's running just fine and I couldn't wait to get back to driving her after the rental.,Fulfilled
65,Last night I couldn't wait to see Nikki and where I normally would've spent the night drinking and socializing with my work mates I just didn't have the patience yesterday.,Unknown
66,I was getting txted up by my girl Lisha and tabby was hittin me up I wanted to hear from Lisha not so much tabby.,Fulfilled
67,"At first, it felt like she was rubbin it in everyone's face, but now that I think about it... I think she was just really excited and couldn't wait to tell people... and I know I'd be the same way... so I shouldn't be mad at her or anything... I'm just really bummed.",Fulfilled
68,"Errol and I had been looking forward to sharing the Lincoln children's museum with Teddy, and I couldn't wait to show mom and Kate Milkworks.",Unknown
69,And I couldn't wait to hear them do their speeches and watch the modeling the next day.,Fulfilled
70,But I am still here and I really miss you... there were so many things that I still wanted to experience with you.,Unfulfilled
71,"As I have before, I instructed her to torment herself with the Hitachi and whatever other toys she wished to use, but was specific that she was not to come until I came home and gave her permission.",Unknown
72,I always wished to be unborn knowing that I will forever pollute and degrade,Unfulfilled
73,Reason #1 to be a proud mama - she told me the reason why she no longer wished to go.,Fulfilled
74,"To me, I felt like I deceived you and that is the last thing I ever wanted to do we always said we'd be honest and I tried to be the strongest.",Unfulfilled
75,I also wanted to be Perry Mason.,Unfulfilled
76,I wanted to show the growth that I had made as a writer.,Unknown
77,"Last night mum wanted to show me a description of males born winter, as she thought I matched it.",Fulfilled
78,"It'll have a proper header on it tomorrow before I post it to the comms, but I wanted to get it posted while it was still the 19th in her part of the world",Unknown
79,We also spent last week closing in on office space for my chiropractic practice which I hoped to open in early October.,Unknown
80,I hoped to create the image of a ball with a ribbon around it...,Fulfilled
81,"He was someone I would have liked to have gotten to know better -- someone I had hoped to get the chance to get know better, and not just with the benefit of hindsight.",Unfulfilled
